'won  t release', won't release
/repair, repair
0 ring, o-ring,
2-way, two way radio
2way, two way
@, at
a/c unit, air conditioner
a/c, air conditioner
a/con, air conditioner
a/cond heater, air conditioner heater
a/cond, air conditioner
ac unit, air conditioner
ac unit, air conditioner
air - con, air conditioner
air / con, air conditioner
air con, air conditioner
air cond unit, air conditioner
air cond, air conditioner
air condition, air conditioner
air conditioner unit, air conditioner
air conditioning, air conditioner
air/con, air conditioner
aircon, air conditioner
aircond, air conditioner
aircondition, air conditioner
airconditioner, air conditioner
allingment, alignment
alram, alarm
auxilary, auxiliary
auxillary, auxiliary
auxilliary, auxiliary
batterie, battery
bent up, bent
break-out, break out
breakout, break out
bull ho, bull hose
c/o, changeout
cab air conditioner, air conditioner
carasel, carousel
carasoul, carousel
carosal, carousel
carosel, carousel
carosuel, carousel
carousell, carousel
changeout, change out
chassi, chassis
chubb, contractor_6
compresure, compressor
comprsor, compressor
cracking, cracked
cracks, cracked
creap, creeping
creaping, creeping
cyclinder, cylinder
cyl, cylinder
cylender, cylinder
def.check, check
dril, drill
eng, engine
enweld, contractor_5
evap fans, evaporative fans
fron, front
fulctuating, fluctuating
grs, contractor_3
guage, gauge
hyd fitting, hydraulic fitting
hyd line, hydraulic line
hyd, hydraulic
hyd., hydraulic
hydrauilc, hydraulic
hydraulics line, hydraulic line
hydraulics, hydraulic
insp, inspect
jakstas, contractor_2
l/h, left hand side
l/h/s, left hand side
laek, leak
leakage, leak
leakin, leak
leaking, leak
left hand, left hand side
lh side, left hand side
lh, left hand side
lhs, left hand side
loosing, losing
mindrill, contractor_1
moter, motor
n/a, NA
nix, contractor_4
noisey, noisy
not cold, not cold enough
o ring, o-ring,
o/temp, over temperature
on front of, front
over temp, over temperature
overhaul, repair
poasitioner, positioner
postioner, positioner
r/h, right hand side
r/h/s, right hand side
rear of, rear
receiv, receive
repairs, repair
repalce, replace
repiars, repair
replaec, replace
rh side, right hand side
rh, right hand side
rhs, right hand side
right hand, right hand side
servicing, service
shuitting down, shutting down
shuting, shutting
top of, top
traming, tramming
trrack, track
turbo/manifold, turbo manifold
two way, two way radio
u/s, unserviceable
wo n't start, won't start
wont, won't
fab, fabricate
re - locate, relocate
demob, demobilise
clean up, clean
cleanup, clean
gbx, gearbox
vsd, variable speed drive
switche, switch
collapesed, collapsed
collasped, collapsed
tripping on, tripping
tripping out, tripping
faulted, fault
faulting, fault
fault finding, fault
c / out, change out
re - instate, reinstate
re - attach, reattach
re - terminate, reterminate
re design, redesign
faut, fault
maintanance, maintenance
maintainance, maintenance
