l/h/s, left hand side
lh, left hand
lhs, left hand side
r/h/s, right hand side
rh, right hand
rhs, right hand side
r/h, right hand
l/h, left hand
n/a, NA
u/s, unserviceable
aircon, air conditioner
a/c, air conditioner
air/con, air conditioner
moter, motor
creaping, creeping
creap, creeping
2way, two way
repiars, repair
noisey, noisy
loosing, losing
carasel, carousel
repairs, repair
allingment, alignment
cond, conditioner
servicing, service
broken,see, broken
wont, won't
turbo/manifold, turbo manifold
repalce, replace
changeout, change out
shuting, shutting
alram, alarm
receiv, receive
carasoul, carousel
poasitioner, positioner
carosel, carousel
carosuel, carousel
carousell, carousel
dril, drill
breakout, break out
traming, tramming
batterie, battery
break-out, break out
chassi, chassis
